"company_name","avg_company_salary","job_location","job_work_from_home","required_skills","job_count"
"Netflix","450000","Amsterdam, Netherlands","","go, python, r, scala, sql","3"
"Netflix","450000","California City, CA","","python, r, sql","1"
"Netflix","450000","Los Angeles, CA","","airtable, excel","1"
"Netflix","450000","Los Gatos, CA","","excel, java, keras, python, r, scala, spark, sql, symphony, tensorflow","4"
"Netflix","450000","New York, NY","","aws, excel, java, python, scala, spark, sql","1"
"Greenfield Source","390000","","","excel, go, linux, python","1"
"Long Ridge Partners","375000","","","aws, c++, docker, jenkins, kubernetes, linux, postgresql, python, redshift, splunk, sql, sql server, unix","1"
"Durlston Partners","371000","Anywhere",1,"aws, golang, python, sql","2"
"Durlston Partners","371000","New York, NY","","c++, python","3"
"Life Science People","350000","New York, NY","","linux","1"
"The Home Depot","350000","Atlanta, GA","","airflow, asp.net, bigquery, c#, c++, excel, gcp, github, java, microstrategy, ms access, oracle, python, r, sas, spss, sql, sql server, ssrs, tableau, vba","20"
"The Home Depot","350000","Buckhead, GA","","bigquery, excel, python, sql, tableau","2"
"Algo Capital Group","343750","Anywhere",1,"airflow, aws, c++, cassandra, hadoop, java, python, spark, sql, tableau","3"
"Algo Capital Group","343750","Chicago, IL","","airflow, aws, cassandra, docker, hadoop, java, linux, python, scala, spark, sql, tableau","3"
"Algo Capital Group","343750","New York, NY","","airflow, c++, docker, hadoop, java, jupyter, kafka, kubernetes, nosql, python, snowflake, spark, sql","1"
"Algo Capital Group","343750","","","c, c++, cassandra, docker, hadoop, java, kafka, kubernetes, linux, mongodb, python, spark, sql, tableau","7"
"Engtal","325000","Anywhere",1,"airflow, aws, azure, cassandra, couchdb, databricks, docker, dynamodb, elasticsearch, gcp, git, github, gitlab, hadoop, jira, kafka, kubernetes, matlab, mongodb, neo4j, nosql, numpy, pandas, pyspark, python, r, redshift, ruby, sas, scala, snowflake, spark, sql, sql server, ssrs, tableau","7"
"Engtal","325000","United States","","aws, bash, docker, hadoop, java, jira, kafka, kubernetes, python, spark, sql, unix","3"
"Capital Markets Recruitment","300000","","","aws, c++, go, java, nosql, python, sql","3"
"Stanford Black Limited","300000","New York, NY","","aws, azure, sql","1"
